id_ci,ntra_ci,fha_de_ini,hra_de_ini,rmen_de_hchos
002206/2025,1,2025-06-02,09:05:29,"Q HOY APROXIMADAMENTE  POR UN PROBLEMA DE ESTACIONAMIENTO DE CARRO FUE AGREDIDO FISICAMENTE POR UNA PERSONA"
002047/2025,2,2025-06-02,09:07:23,"REFIERE QUE SU VECINA ENTRO A SU PREDIO Y LA AMENAZO"
